waterbody,site,dup,reps,unbound Phycocyanin,Green Algae,Green Algae,Bluegreen,Bluegreen,Diatoms,Diatoms,Cryptophyta,Cryptophyta,Planktothrix,Planktothrix,Total conc.,Total cell count,Yellow substances,Turbidity,Temp. Sample,variable,day,month,year,Fresh/Frozen1,Comment
,,,,?g/l,?g/l,cells/ml,?g/l,cells/ml,?g/l,cells/ml,?g/l,cells/ml,?g/l,cells/ml,?g/l,cells/ml,r.u.,FTU,?C,,,,,,
200ppb standard,,--,--,0,0,0,0,0,0,0,115.18,3456,143.62,143618,258.8,147073,2.32,0,19.06,,8,12,2021,,
200ppb standard,,--,--,0,0,0,0,0,0,0,112.05,3361,145.05,145047,257.1,148408,2.53,0,19.08,,8,12,2021,,
200ppb standard,,--,--,0,0,0,0,0,0,0,111.98,3359,144.9,144899,256.88,148259,2.51,0,19.06,,8,12,2021,,
800ppb standard,,--,--,0,0,0,0,0,0,0,423.23,12697,140.19,140191,563.42,152888,14.71,0,19.11,,8,12,2021,,
800ppb standard,,--,--,0,0,0,0,0,0,0,426.91,12807,138.1,138103,565.02,150911,14.5,0,19.12,,8,12,2021,,
800ppb standard,,--,--,0,0,0,0,0,0,0,426.21,12786,137.99,137986,564.2,150773,14.5,0,19.16,,8,12,2021,,
lower melville,,1,1,19.43,0,0,9.57,9568,0.38,171,0,0,0,0,9.95,9739,1.13,2.17,19.78,,9,11,2021,frozen1,
lower melville,,1,1,19.07,0,0,9.38,9382,0.36,163,0,0,0,0,9.74,9544,1.13,2.15,19.8,,9,11,2021,frozen1,
lower melville,,1,1,18.9,0,0,9.55,9552,0.41,183,0,0,0,0,9.96,9735,1.13,2.17,19.78,,9,11,2021,frozen1,
lower melville,,1,2,17.95,0,0,10.62,10616,0.26,117,0,0,0,0,10.88,10732,1.18,3.21,19.98,,9,11,2021,frozen1,
lower melville,,1,2,17.99,0,0,10.51,10514,0.26,117,0,0,0,0,10.77,10630,1.19,3.24,19.99,,9,11,2021,frozen1,
lower melville,,1,2,18.07,0,0,10.6,10596,0.31,141,0,0,0,0,10.91,10737,1.18,3.17,19.99,,9,11,2021,frozen1,
lower melville,,1,3,18.08,0,0,10.72,10724,0.37,166,0,0,0,0,11.09,10890,1.2,3.42,20.14,,9,11,2021,frozen1,
lower melville,,1,3,18.51,0,0,11.02,11016,0.37,166,0,0,0,0,11.38,11182,1.19,3.39,20.15,,9,11,2021,frozen1,
lower melville,,1,3,18.3,0,0,10.98,10976,0.41,186,0,0,0,0,11.39,11162,1.2,3.41,20.16,,9,11,2021,frozen1,
lower melville,,2,1,20.76,0,0,8.3,8296,0.37,166,0,0,0,0,8.66,8462,1.11,2.32,20.38,,9,11,2021,frozen1,
lower melville,,2,1,20.54,0,0,8.34,8342,0.36,162,0,0,0,0,8.7,8504,1.12,2.33,20.37,,9,11,2021,frozen1,
lower melville,,2,1,20.49,0,0,8.58,8577,0.34,151,0,0,0,0,8.91,8728,1.13,2.3,20.39,,9,11,2021,frozen1,
lower melville,,2,2,20.06,0,0,8.23,8228,0.29,131,0,0,0,0,8.52,8360,1.18,4.44,20.5,,9,11,2021,frozen1,
lower melville,,2,2,19.99,0,0,8.1,8103,0.34,152,0,0,0,0,8.44,8255,1.18,4.46,20.51,,9,11,2021,frozen1,
lower melville,,2,2,19.99,0,0,8.17,8170,0.29,130,0,0,0,0,8.46,8300,1.19,4.48,20.52,,9,11,2021,frozen1,
lower melville,,2,3,22.02,0,0,7.49,7495,0.53,238,0,0,0,0,8.02,7733,1.16,2.83,20.62,,9,11,2021,frozen1,
lower melville,,2,3,21.84,0,0,7.53,7525,0.5,224,0,0,0,0,8.02,7749,1.17,2.78,20.63,,9,11,2021,frozen1,
lower melville,,2,3,21.89,0,0,7.66,7659,0.48,217,0,0,0,0,8.14,7876,1.16,2.78,20.65,,9,11,2021,frozen1,
lower melville,,3,1,16.45,0,0,7.76,7761,0.32,146,0,0,0,0,8.08,7907,1.14,3.55,20.78,,9,11,2021,frozen1,
lower melville,,3,1,16.35,0,0,7.81,7811,0.32,143,0,0,0,0,8.13,7954,1.14,3.51,20.78,,9,11,2021,frozen1,
lower melville,,3,1,16.25,0,0,7.89,7885,0.33,149,0,0,0,0,8.22,8034,1.14,3.53,20.78,,9,11,2021,frozen1,
lower melville,,3,2,16.87,0,0,8.04,8037,0.41,183,0,0,0,0,8.44,8220,1.17,3.75,20.88,,9,11,2021,frozen1,
lower melville,,3,2,16.41,0,0,7.85,7848,0.36,161,0,0,0,0,8.21,8009,1.19,3.77,20.89,,9,11,2021,frozen1,
lower melville,,3,2,16.24,0,0,7.97,7974,0.34,151,0,0,0,0,8.31,8125,1.19,3.72,20.89,,9,11,2021,frozen1,
lower melville,,3,3,17.76,0,0,7.1,7096,0.42,189,0,0,0,0,7.52,7285,1.14,2.61,20.99,,9,11,2021,frozen1,
lower melville,,3,3,17.28,0,0,7.3,7302,0.4,182,0,0,0,0,7.71,7484,1.13,2.56,21.01,,9,11,2021,frozen1,
lower melville,,3,3,17.4,0,0,7.18,7177,0.41,184,0,0,0,0,7.59,7361,1.14,2.56,21.02,,9,11,2021,frozen1,
upper melville,,1,1,14.13,1.89,1002,3.65,3649,0,0,0,0,0.03,25,5.56,4676,0.94,1.92,21.35,,9,11,2021,frozen1,
upper melville,,1,1,14.17,2,1062,3.67,3667,0,0,0,0,0.05,45,5.72,4774,0.93,1.98,21.36,,9,11,2021,frozen1,
upper melville,,1,1,14.21,1.98,1051,3.63,3632,0,0,0,0,0.03,25,5.64,4708,0.92,1.97,21.37,,9,11,2021,frozen1,
upper melville,,1,2,14.85,2.02,1071,3.44,3441,0,0,0,0,0.07,69,5.53,4581,0.94,2.41,21.43,,9,11,2021,frozen1,
upper melville,,1,2,14.46,1.97,1046,3.54,3540,0,0,0,0,0.05,45,5.56,4631,0.95,2.43,21.45,,9,11,2021,frozen1,
upper melville,,1,2,14.24,1.94,1030,3.65,3646,0,0,0,0,0.04,43,5.63,4719,0.95,2.4,21.43,,9,11,2021,frozen1,
upper melville,,1,3,11.88,1.81,959,4.54,4539,0,0,0,0,0.04,42,6.39,5540,0.98,3.61,21.52,,9,11,2021,frozen1,
upper melville,,1,3,12.11,1.8,953,4.56,4560,0,0,0,0,0.03,35,6.39,5548,0.97,3.49,21.52,,9,11,2021,frozen1,
